600000  浦发银行
600001 	邯郸钢铁
600003 	东北高速
600004 	白云机场
600005 	武钢股份
600006 	东风汽车
600007 	中国国贸
600008 	首创股份
600009 	上海机场
600010 	包钢股份
600011 	华能国际
600012 	皖通高速
600015 	华夏银行
600016 	民生银行
600017 	日照港
600018 	上港集团
600019 	宝钢股份
600020 	中原高速
600021 	上海电力
600022 	济南钢铁
600026 	中海发展
600027 	华电国际
600028 	中国石化
600029 	S南航
600030 	中信证券
600031 	三一重工
600033 	福建高速
600035 	楚天高速
600036 	招商银行
600037 	歌华有线
600038 	哈飞股份
600039 	四川路桥
600048 	保利地产
600050 	中国联通
600051 	宁波联合
600052 	S浙广厦
600053 	中江地产
600054 	黄山旅游
600055 	万东医疗
600056 	中技贸易
600057 	夏新电子
600058 	五矿发展
600059 	古越龙山
600060 	海信电器
600061 	中纺投资
600062 	双鹤药业
600063 	皖维高新
600064 	南京高科
600066 	宇通客车
600067 	冠城大通
600068  葛洲坝
600069 	银鸽投资
600070 	浙江富润
600071 	凤凰光学
600072 	江南重工
600073 	上海梅林
600074 	中达股份
600075 	新疆天业
600076 	*ST华光
600077 	国能集团
600078 	澄星股份
600079 	人福科技
600080 	金花股份
600081 	东风科技
600082 	海泰发展
600083 	ST博讯
600084 	新天国际
600085 	同仁堂
600086 	东方金钰
600087 	南京水运
600088 	中视传媒
600089 	特变电工
600090 	ST啤酒花
600091 	明天科技
600093 	*ST禾嘉
600094 	S华源
600095 	哈高科
600096 	云天化
600097 	华立科技
600098 	广州控股
600099 	林海股份
600100 	同方股份
600101 	明星电力
600102 	莱钢股份
600103 	青山纸业
600104 	上海汽车
600105 	永鼎光缆
600106 	重庆路桥
600107 	美尔雅
600108 	亚盛集团
600109 	S成建投
600110 	中科英华
600111 	稀土高科
600112 	长征电器
600113 	浙江东日
600114 	宁波东睦
600115 	东方航空
600116 	三峡水利
600117 	西宁特钢
600118 	中国卫星
600119  长江投资
600120 	浙江东方
600121 	郑州煤电
600122 	宏图高科
600123 	兰花科创
600125 	铁龙物流
600126 	杭钢股份
600127 	金健米业
600128 	弘业股份
600129 	太极集团
600130 	波导股份
600131 	岷江水电
600132 	重庆啤酒
600133 	S东湖新
600135 	S乐凯
600136 	*ST道博
600137 	S*ST长控
600138 	中青旅
600139 	绵阳高新
600141 	兴发集团
600143 	金发科技
600145 	四维瓷业
600146 	大元股份
600148 	长春一东
600149 	S华夏通
600150 	沪东重机
600151 	航天机电
600152 	维科精华
600153 	建发股份
600155 	*ST宝硕
600156 	华升股份
600157 	S鲁润
600158 	中体产业
600159 	大龙地产
600160 	巨化股份
600161 	天坛生物
